"","receiver","projectname","drop_dead_date","station_name","deploy_lat","deploy_long"
"1","VR2W-127739","BPNS",2017-08-27 00:00:00,"bpns-GARDENCITY",51.485333,2.298666667
"2","VR2W-129571","BPNS",2019-04-30 00:00:00,"bpns-Whitley",51.1511666667,2.6603333333
"3","VR2W-126201","BPNS",2019-04-30 00:00:00,"bpns-Trapegeer",51.1403333333,2.573
"4","VR2Tx-480721","BPNS",2019-04-30 00:00:00,"bpns-D1",51.2325,2.643166667
"5","VR2W-110784","BPNS",2018-07-06 00:00:00,"bpns-buitenratel",51.1937,2.4653
"6","VR2W-123813","Westerschelde 1",2019-02-16 00:00:00,"ws-STEEN",51.403409,3.465898
"7","VR2W-114258","BPNS",2018-03-14 00:00:00,"bpns-WZ",51.376167,3.178666667
"8","VR2W-114312","BPNS",2018-03-14 00:00:00,"bpns-W1",51.391333,3.303666667
"9","VR2W-123823","BPNS",2018-05-20 22:00:00,"bpns-WK14",51.3685,3.262
"10","VR2W-123828","BPNS",2019-02-25 00:00:00,"bpns-A1BIS",51.361333,2.967
"11","VR2C-450113","BPNS",NA,"bpns-LottoBuoy",51.5666667,2.983333
"12","VR2W-123815","Westerschelde 1",2019-02-16 00:00:00,"ws-W6",51.41834,3.453181
"13","VR2W-123820","Westerschelde 1",2019-02-16 00:00:00,"ws-DL7",51.471342,3.475013
"14","VR2W-123818","Westerschelde 1",2019-02-16 00:00:00,"ws-GVWSP",51.447341,3.470514
"15","VR2Tx-480723","BPNS",2019-05-11 00:00:00,"bpns-BelwindReefballs",51.70442,2.81259
"16","VR2W-123819","Westerschelde 1",2019-02-16 00:00:00,"ws-SP3",51.459333,3.4718333
"17","VR2W-123826","Westerschelde 1",2019-02-16 00:00:00,"ws-W7",51.410173,3.454515
"18","VR2W-123831","Westerschelde 1",2019-02-16 00:00:00,"ws-OGDL",51.46395,3.51263
"19","VR2W-123832","Westerschelde 1",2019-02-16 00:00:00,"ws-OG10",51.474675,3.510681
"20","VR2W-123830","Westerschelde 1",2019-02-16 00:00:00,"ws-DL12",51.466175,3.502181
"21","VR2W-127727","Westerschelde 1",2019-02-16 00:00:00,"ws-DL9",51.465842,3.48868
"22","VR2W-127723","BPNS",2019-05-12 00:00:00,"bpns-S7",51.399667,3.173666667
"23","VR2W-110779","BPNS",2019-05-11 00:00:00,"bpns-VG2",51.4325,2.802
"24","VR2W-106251","BPNS",2019-08-15 00:00:00,"bpns-S4",51.417167,3.0475
"25","VR2W-129572","BPNS",2019-08-14 00:00:00,"bpns-buitenratel",51.1937,2.4653
"26","VR2W-129570","BPNS",2018-02-28 00:00:00,"bpns-OOSTDYCK",51.356333,2.518666667
"27","VR2W-129563","BPNS",2017-05-13 00:00:00,"bpns-KB2",51.350667,2.703666667
"28","VR2W-127729","BPNS",2019-01-28 00:00:00,"bpns-RYCO",51.2247,2.9408
"29","VR2W-131000","BPNS",2019-02-25 00:00:00,"bpns-OH6",51.239667,2.9215
"30","VR2W-123827","BPNS",2019-02-25 00:00:00,"bpns-WENDUINEBANKW",51.287167,2.879166667
"31","VR2Tx-480722","BPNS",2019-05-12 00:00:00,"bpns-CPowerReefballs",51.5800044,2.9954894
"32","VR2W-133321","BPNS",2019-09-27 00:00:00,"bpns-ZAND4",51.359,3.20318
"33","VR2W-127715","BPNS",2019-09-27 00:00:00,"bpns-ZOKN",51.35718,3.19037
"34","VR2W-123817","Westerschelde 1",2019-02-16 00:00:00,"ws-TRAWL",51.437785,3.470347
"35","VR2W-127718","Westerschelde 1",2019-02-16 00:00:00,"ws-WN2",51.428174,3.462181
"36","VR2W-110778","BPNS",2019-09-27 00:00:00,"bpns-vandamme",51.329852,3.2177857
"37","VR2W-133323","BPNS",2019-09-27 00:00:00,"bpns-boudewijn",51.308913,3.2029422
"38","VR2Tx-481063","BPNS",2019-06-12 00:00:00,"bpns-BIRKENFELS",51.649333,2.533833333
"39","VR2Tx-481062","BPNS",2019-06-26 00:00:00,"bpns-Kilmore",51.3955,2.4965
